candidat,intentions,erreur_sup,erreur_inf
Nathalie Arthaud,0.5,,
Jean-Luc Mélenchon,15,,
Fabien Roussel,2.5,,
Marine Tondelier,4,,
Raphaël Glucksmann,12,,
Édouard Philippe,19,,
Bruno Retailleau,7.5,,
Nicolas Dupont-Aignan,2,,
Marine Le Pen,34.5,,
Éric Zemmour,3,,
