candidat,intentions,erreur_sup,erreur_inf
Nathalie Arthaud,1,0.68,-0.68
Jean-Luc Mélenchon,15,2.44,-2.44
Raphaël Glucksmann,12,2.22,-2.22
Édouard Philippe,22,2.83,-2.83
Bruno Retailleau,10,2.05,-2.05
Nicolas Dupont-Aignan,3,1.17,-1.17
Jordan Bardella,33,3.21,-3.21
Éric Zemmour,4,1.34,-1.34
