candidat,intentions,erreur_sup,erreur_inf,p_value,significant
Nathalie Arthaud,1.0,0.2,-0.2,0.0,True
Jean-Luc Mélenchon,10.0,0.62,-0.62,0.0,True
Fabien Roussel,2.5,0.32,-0.32,0.0,True
François Ruffin,4.5,0.43,-0.43,0.0,True
Raphaël Glucksmann,9.0,0.59,-0.59,0.0,True
Marine Tondelier,2.0,0.29,-0.29,0.0,True
Dominique de Villepin,2.0,0.29,-0.29,0.0,True
Gabriel Attal,8.0,0.56,-0.56,0.0,True
Édouard Philippe,15.0,0.73,-0.73,0.0,True
Bruno Retailleau,7.5,0.54,-0.54,0.0,True
Nicolas Dupont-Aignan,2.5,0.32,-0.32,0.0,True
Jordan Bardella,32.0,0.96,-0.96,0.0,True
Éric Zemmour,2.0,0.29,-0.29,0.0,True
