candidat,intentions,erreur_sup,erreur_inf
Nathalie Arthaud,1.0,0.67,-0.67
Jean-Luc Mélenchon,13.0,2.27,-2.27
Fabien Roussel,2.5,1.06,-1.06
Raphaël Glucksmann,8.0,1.83,-1.83
Marine Tondelier,3.5,1.24,-1.24
Édouard Philippe,19.0,2.65,-2.65
David Lisnard,2.0,0.95,-0.95
Bruno Retailleau,9.0,1.94,-1.94
Nicolas Dupont-Aignan,2.5,1.06,-1.06
Jordan Bardella,35.0,3.23,-3.23
Éric Zemmour,4.5,1.4,-1.4
