candidat,intentions,erreur_sup,erreur_inf
Nathalie Arthaud,0.5,0.48,-0.48
Jean-Luc Mélenchon,13.0,2.29,-2.29
Fabien Roussel,3.0,1.16,-1.16
Raphaël Glucksmann,11.0,2.14,-2.14
Marine Tondelier,4.0,1.34,-1.34
Édouard Philippe,19.0,2.68,-2.68
Bruno Retailleau,9.0,1.95,-1.95
Dominique de Villepin,2.0,0.96,-0.96
Nicolas Dupont-Aignan,1.5,0.83,-0.83
Marine Le Pen,33.0,3.21,-3.21
Éric Zemmour,4.0,1.34,-1.34
