candidat,intentions,erreur_sup,erreur_inf
Nathalie Arthaud,1,0.47,-0.47
Jean-Luc Mélenchon,15,1.68,-1.68
Fabien Roussel,4,0.92,-0.92
Marine Tondelier,3,0.8,-0.8
Raphaël Glucksmann,11,1.47,-1.47
Gabriel Attal,15,1.68,-1.68
Bruno Retailleau,11,1.47,-1.47
Nicolas Dupont-Aignan,2,0.66,-0.66
Marine Le Pen,32,2.19,-2.19
Éric Zemmour,6,1.11,-1.11
