candidat,intentions,erreur_sup,erreur_inf,p_value,significant
Nathalie Arthaud,1.0,0.64,-0.64,0.0,True
Fabien Roussel,3.0,1.1,-1.1,0.0,True
Jean-Luc Mélenchon,15.0,2.3,-2.3,0.0,True
Raphaël Glucksmann,15.0,2.3,-2.3,0.0,True
Édouard Philippe,15.0,2.3,-2.3,0.0,True
Bruno Retailleau,12.0,2.1,-2.1,0.0,True
Nicolas Dupont-Aignan,3.5,1.18,-1.18,0.0,True
Jordan Bardella,30.0,2.95,-2.95,0.0,True
Éric Zemmour,5.5,1.47,-1.47,0.0,True
