candidat,intentions,erreur_sup,erreur_inf
Nathalie Arthaud,0.5,,
Philippe Poutou,0.5,,
Jean-Luc Mélenchon,10,,
Fabien Roussel,4,,
Raphaël Glucksmann,14,,
Sandrine Rousseau,1,,
Édouard Philippe,27,,
Michel Barnier,4,,
Éric Zemmour,4,,
Marine Le Pen,36,,
