candidat,intentions,erreur_sup,erreur_inf
Nathalie Arthaud,1.0,-0.52,0.52
Fabien Roussel,4.5,-1.08,1.08
Jean-Luc Mélenchon,12.5,-1.72,1.72
Marine Tondelier,5.5,-1.19,1.19
Olivier Faure,5.5,-1.19,1.19
Édouard Philippe,19.5,-2.06,2.06
Dominique de Villepin,4.0,-1.02,1.02
Laurent Wauquiez,3.0,-0.89,0.89
Nicolas Dupont-Aignan,2.0,-0.73,0.73
Jordan Bardella,36.5,-2.50,2.50
Sarah Knafo,6.0,-1.24,1.24
