candidat,intentions,erreur_sup,erreur_inf
Nathalie Arthaud,0.8,,
Jean-Luc Mélenchon,16.9,,
Fabien Roussel,1.9,,
François Ruffin,3.9,,
Raphaël Glucksmann,10.8,,
Édouard Philippe,16.8,,
Bruno Retailleau,6.5,,
Dominique de Villepin,3.5,,
David Lisnard,4.2,,
Nicolas Dupont-Aignan,2.2,,
Marine Le Pen,29.2,,
Éric Zemmour,3.3,,
