candidat,intentions,erreur_sup,erreur_inf
Nathalie Arthaud,1,,
Jean-Luc Mélenchon,16.5,,
Fabien Roussel,3.5,,
Marine Tondelier,5,,
Olivier Faure,4.5,,
Édouard Philippe,22.5,,
Bruno Retailleau,7.5,,
Nicolas Dupont-Aignan,2,,
Marine Le Pen,34.5,,
Éric Zemmour,3,,
