candidat,intentions,erreur_sup,erreur_inf
Nathalie Arthaud,0.5,0.48,-0.48
Jean-Luc Mélenchon,13.5,2.34,-2.34
Fabien Roussel,6.0,1.63,-1.63
Olivier Faure,4.0,1.34,-1.34
Marine Tondelier,4.0,1.34,-1.34
Édouard Philippe,21.0,2.79,-2.79
Bruno Retailleau,10.0,2.06,-2.06
Nicolas Dupont-Aignan,2.5,1.07,-1.07
Jordan Bardella,35.0,3.27,-3.27
Éric Zemmour,3.5,1.26,-1.26
