candidat,intentions,erreur_sup,erreur_inf
Nathalie Arthaud,2.0,0.97,-0.97
Jean-Luc Mélenchon,11.0,2.18,-2.18
Fabien Roussel,3.0,1.19,-1.19
Olivier Faure,5.0,1.52,-1.52
Marine Tondelier,5.0,1.52,-1.52
Édouard Philippe,19.0,2.73,-2.73
Bruno Retailleau,11.0,2.18,-2.18
Nicolas Dupont-Aignan,3.5,1.28,-1.28
Jordan Bardella,36.0,3.34,-3.34
Éric Zemmour,4.5,1.44,-1.44
