candidat,intentions,erreur_sup,erreur_inf,p_value,significant
Nathalie Arthaud,1,0.58,-0.58,0.0,True
Fabien Roussel,3,1.0,-1.0,0.0,True
Jean-Luc Mélenchon,14,2.03,-2.03,0.0,True
Raphaël Glucksmann,14,2.03,-2.03,0.0,True
Marine Tondelier,3,1.0,-1.0,0.0,True
Gabriel Attal,12,1.9,-1.9,0.0,True
Bruno Retailleau,11,1.83,-1.83,0.0,True
Nicolas Dupont-Aignan,1,0.58,-0.58,0.0,True
Jordan Bardella,35,2.79,-2.79,0.0,True
Éric Zemmour,6,1.39,-1.39,0.0,True
