candidat,intentions,erreur_sup,erreur_inf
Nathalie Arthaud,1.0,-0.52,0.52
Fabien Roussel,3.0,-0.89,0.89
Jean-Luc Mélenchon,12.5,-1.72,1.72
Marine Tondelier,4.5,-1.08,1.08
Raphaël Glucksmann,11.0,-1.63,1.63
Édouard Philippe,15.5,-1.88,1.88
Dominique de Villepin,3.0,-0.89,0.89
Bruno Retailleau,8.0,-1.41,1.41
Nicolas Dupont-Aignan,2.0,-0.73,0.73
Jordan Bardella,35.0,-2.48,2.48
Éric Zemmour,4.5,-1.08,1.08
