candidat,intentions,erreur_sup,erreur_inf
Nathalie Arthaud,1,0.75,-0.75
Jean-Luc Mélenchon,16,2.75,-2.75
Raphaël Glucksmann,16,2.75,-2.75
Édouard Philippe,19,2.94,-2.94
Bruno Retailleau,9,2.15,-2.15
Nicolas Dupont-Aignan,2,1.05,-1.05
Marine Le Pen,34,3.55,-3.55
Éric Zemmour,3,1.28,-1.28
