candidat,intentions,erreur_sup,erreur_inf
Nathalie Arthaud,1,0.75,-0.75
Fabien Roussel,3,1.28,-1.28
Jean-Luc Mélenchon,13,2.52,-2.52
Raphaël Glucksmann,13,2.52,-2.52
Marine Tondelier,5,1.63,-1.63
Édouard Philippe,19,2.94,-2.94
Bruno Retailleau,8,2.03,-2.03
Nicolas Dupont-Aignan,2,1.05,-1.05
Marine Le Pen,33,3.53,-3.53
Éric Zemmour,3,1.28,-1.28
