candidat,intentions,erreur_sup,erreur_inf
Nathalie Arthaud,1,0.49,-0.49
Jean-Luc Mélenchon,16,1.8,-1.8
Fabien Roussel,2,0.69,-0.69
Marine Tondelier,2,0.69,-0.69
Raphaël Glucksmann,10,1.47,-1.47
Gabriel Attal,8,1.33,-1.33
Édouard Philippe,14,1.7,-1.7
Bruno Retailleau,7,1.25,-1.25
Nicolas Dupont-Aignan,1,0.49,-0.49
Marine Le Pen,35,2.34,-2.34
Éric Zemmour,4,0.96,-0.96
