candidat,intentions,erreur_sup,erreur_inf,p_value,significant
Nathalie Arthaud,1,0.6,-0.6,0.0,True
Fabien Roussel,3,1.02,-1.02,0.0,True
Jean-Luc Mélenchon,15,2.14,-2.14,0.0,True
Raphaël Glucksmann,11,1.87,-1.87,0.0,True
Marine Tondelier,3,1.02,-1.02,0.0,True
Gabriel Attal,15,2.14,-2.14,0.0,True
Bruno Retailleau,16,2.2,-2.2,0.0,True
Marine Le Pen,31,2.77,-2.77,0.0,True
Éric Zemmour,5,1.31,-1.31,0.0,True
