candidat,intentions,erreur_sup,erreur_inf
Nathalie Arthaud,2,1.0,-1.0
Jean-Luc Mélenchon,12,2.31,-2.31
Fabien Roussel,3,1.21,-1.21
Raphaël Glucksmann,16,2.61,-2.61
Marine Tondelier,5,1.55,-1.55
Bruno Retailleau,17,2.67,-2.67
Nicolas Dupont-Aignan,3,1.21,-1.21
Jordan Bardella,38,3.46,-3.46
Éric Zemmour,4,1.4,-1.4
