candidat,intentions,erreur_sup,erreur_inf
Nathalie Arthaud,1,0.47,-0.47
Fabien Roussel,4,0.92,-0.92
Jean-Luc Mélenchon,12,1.53,-1.53
Raphaël Glucksmann,12,1.53,-1.53
Marine Tondelier,4,0.92,-0.92
Gabriel Attal,14,1.64,-1.64
Bruno Retailleau,13,1.59,-1.59
Nicolas Dupont-Aignan,2,0.66,-0.66
Marine Le Pen,33,2.22,-2.22
Éric Zemmour,5,1.03,-1.03
