candidat,intentions,erreur_sup,erreur_inf,p_value,significant
Nathalie Arthaud,1.0,0.65,-0.65,0.0,True
Fabien Roussel,4.0,1.27,-1.27,0.0,True
Jean-Luc Mélenchon,15.0,2.32,-2.32,0.0,True
Marine Tondelier,7.5,1.71,-1.71,0.0,True
Édouard Philippe,19.5,2.57,-2.57,0.0,True
Bruno Retailleau,12.5,2.15,-2.15,0.0,True
Nicolas Dupont-Aignan,4.0,1.27,-1.27,0.0,True
Jordan Bardella,31.0,3.0,-3.0,0.0,True
Éric Zemmour,5.5,1.48,-1.48,0.0,True
