candidat,intentions,erreur_sup,erreur_inf
Nathalie Arthaud,1,,
Jean-Luc Mélenchon,17,,
Fabien Roussel,3,,
Marine Tondelier,3,,
Raphaël Glucksmann,10,,
Édouard Philippe,17,,
Bruno Retailleau,7,,
Nicolas Dupont-Aignan,3,,
Marine Le Pen,34,,
Éric Zemmour,5,,
