candidat,intentions,erreur_sup,erreur_inf
Nathalie Arthaud,1.0,0.52,-0.52
Fabien Roussel,3.0,0.89,-0.89
Jean-Luc Mélenchon,12.0,1.7,-1.7
Marine Tondelier,5.5,1.2,-1.2
François Hollande,6.5,1.29,-1.29
Édouard Philippe,19.0,2.06,-2.06
Dominique de Villepin,4.0,1.03,-1.03
Xavier Bertrand,5.5,1.2,-1.2
Nicolas Dupont-Aignan,2.5,0.82,-0.82
Jordan Bardella,35.0,2.5,-2.5
Éric Zemmour,6.0,1.25,-1.25
