candidat,intentions,erreur_sup,erreur_inf
Nathalie Arthaud,2,,
Fabien Roussel,4,,
Jean-Luc Mélenchon,13,,
Raphaël Glucksmann,16,,
François Bayrou,3,,
Bruno Retailleau,13,,
Dominique de Villepin,6,,
Nicolas Dupont-Aignan,3,,
Jordan Bardella,35,,
Éric Zemmour,5,,
