candidat,intentions,erreur_sup,erreur_inf
Nathalie Arthaud,2.0,0.74,-0.74
Fabien Roussel,3.5,0.97,-0.97
Jean-Luc Mélenchon,14.0,1.83,-1.83
Marine Tondelier,4.0,1.03,-1.03
François Hollande,7.5,1.39,-1.39
Édouard Philippe,19.5,2.09,-2.09
Bruno Retailleau,6.0,1.25,-1.25
David Lisnard,3.0,0.9,-0.9
Nicolas Dupont-Aignan,2.5,0.82,-0.82
Marine Le Pen,34.0,2.5,-2.5
Éric Zemmour,4.0,1.03,-1.03
