candidat,intentions,erreur_sup,erreur_inf
Nathalie Arthaud,1.0,0.61,-0.61
Jean-Luc Mélenchon,13.5,2.08,-2.08
Fabien Roussel,3.5,1.12,-1.12
Marine Tondelier,5.0,1.33,-1.33
François Hollande,8.0,1.65,-1.65
Gabriel Attal,17.5,2.31,-2.31
Bruno Retailleau,10.0,1.83,-1.83
Nicolas Dupont-Aignan,1.5,0.74,-0.74
Jordan Bardella,36.0,2.92,-2.92
Éric Zemmour,4.0,1.19,-1.19
