candidat,intentions,erreur_sup,erreur_inf
Fabien Roussel,2,0.96,-0.96
Jean-Luc Mélenchon,15,2.45,-2.45
Raphaël Glucksmann,11,2.14,-2.14
Gabriel Attal,8,1.86,-1.86
Édouard Philippe,17,2.57,-2.57
Bruno Retailleau,7,1.75,-1.75
Marine Le Pen,37,3.31,-3.31
Éric Zemmour,3,1.17,-1.17
