candidat,intentions,erreur_sup,erreur_inf
Nathalie Arthaud,2,,
Jean-Luc Mélenchon,12,,
Fabien Roussel,2.5,,
Raphaël Glucksmann,11,,
Marine Tondelier,4.5,,
Édouard Philippe,23,,
Nicolas Dupont-Aignan,3,,
Jordan Bardella,37,,
Éric Zemmour,5,,
