candidat,intentions,erreur_sup,erreur_inf,p_value,significant
Nathalie Arthaud,1,0.6,-0.6,0.0,True
Fabien Roussel,3,1.02,-1.02,0.0,True
Jean-Luc Mélenchon,14,2.08,-2.08,0.0,True
Raphaël Glucksmann,10,1.8,-1.8,0.0,True
Marine Tondelier,3,1.02,-1.02,0.0,True
Édouard Philippe,21,2.44,-2.44,0.0,True
Bruno Retailleau,12,1.95,-1.95,0.0,True
Marine Le Pen,31,2.77,-2.77,0.0,True
Éric Zemmour,5,1.31,-1.31,0.0,True
