candidat,intentions,erreur_sup,erreur_inf
Nathalie Arthaud,1,,
Fabien Roussel,3,,
Jean-Luc Mélenchon,11,,
François Ruffin,8,,
Raphaël Glucksmann,12,,
Sébastien Lecornu,6.5,,
Dominique de Villepin,5.5,,
Bruno Retailleau,9.5,,
Nicolas Dupont-Aignan,2.5,,
Jordan Bardella,37.5,,
Éric Zemmour,3.5,,
