candidat,intentions,erreur_sup,erreur_inf
Nathalie Arthaud,1.0,,
Fabien Roussel,3.0,,
Jean-Luc Mélenchon,11.0,,
Marine Tondelier,6.0,,
Raphaël Glucksmann,13.5,,
Édouard Philippe,17.0,,
Bruno Retailleau,8.0,,
Nicolas Dupont-Aignan,2.0,,
Jordan Bardella,35.0,,
Éric Zemmour,3.5,,
