candidat,intentions,erreur_sup,erreur_inf
Nathalie Arthaud,1,,
Jean-Luc Mélenchon,25,,
Fabien Roussel,1,,
François Ruffin,2,,
Marine Tondelier,6,,
Raphaël Glucksmann,10,,
Gabriel Attal,9,,
Édouard Philippe,8,,
Dominique de Villepin,3,,
Bruno Retailleau,3,,
Nicolas Dupont-Aignan,1,,
Jordan Bardella,27,,
Éric Zemmour,4,,
