candidat,intentions,erreur_sup,erreur_inf
Nathalie Arthaud,1,,
Jean-Luc Mélenchon,16,,
Fabien Roussel,2,,
Marine Tondelier,3,,
Raphaël Glucksmann,9,,
Gabriel Attal,8,,
Édouard Philippe,14,,
Bruno Retailleau,7,,
Nicolas Dupont-Aignan,2,,
Marine Le Pen,33,,
Éric Zemmour,5,,
