candidat,intentions,erreur_sup,erreur_inf
Nathalie Arthaud,1.0,0.6,-0.6
Jean-Luc Mélenchon,13.5,2.08,-2.08
Fabien Roussel,4.0,1.19,-1.19
Marine Tondelier,5.0,1.32,-1.32
François Hollande,7.5,1.6,-1.6
Édouard Philippe,19.0,2.38,-2.38
Bruno Retailleau,9.0,1.74,-1.74
Nicolas Dupont-Aignan,1.5,0.74,-0.74
Jordan Bardella,35.5,2.91,-2.91
Éric Zemmour,4.0,1.19,-1.19
