candidat,intentions,erreur_sup,erreur_inf,p_value,significant
Nathalie Arthaud,2,0.29,-0.29,0.0,True
Jean-Luc Mélenchon,12,0.67,-0.67,0.0,True
François Ruffin,10,0.62,-0.62,0.0,True
Édouard Philippe,26,0.9,-0.9,0.0,True
Bruno Retailleau,10,0.62,-0.62,0.0,True
Nicolas Dupont-Aignan,3,0.35,-0.35,0.0,True
Jordan Bardella,33,0.96,-0.96,0.0,True
Éric Zemmour,4,0.4,-0.4,0.0,True
