candidat,intentions,erreur_sup,erreur_inf
Nathalie Arthaud,1,,
Jean-Luc Mélenchon,13,,
Raphaël Glucksmann,15,,
Édouard Philippe,18,,
Bruno Retailleau,11,,
Sarah Knafo,5,,
Jordan Bardella,37,,
