candidat,intentions,erreur_sup,erreur_inf
Fabien Roussel,3.0,1.2,-1.2
Jean-Luc Mélenchon,12.0,2.29,-2.29
Marine Tondelier,5.0,1.53,-1.53
Raphaël Glucksmann,13.0,2.37,-2.37
Édouard Philippe,17.0,2.64,-2.64
Bruno Retailleau,7.5,1.85,-1.85
Nicolas Dupont-Aignan,2.0,0.99,-0.99
Jordan Bardella,36.5,3.39,-3.39
Éric Zemmour,4.0,1.38,-1.38
