candidat,intentions,erreur_sup,erreur_inf
Nathalie Arthaud,0.5,0.43,-0.43
Jean-Luc Mélenchon,15,2.19,-2.19
Fabien Roussel,2.5,0.96,-0.96
Marine Tondelier,3.5,1.13,-1.13
Raphaël Glucksmann,11.5,1.96,-1.96
Gabriel Attal,7.5,1.62,-1.62
Édouard Philippe,14.5,2.16,-2.16
Bruno Retailleau,6,1.46,-1.46
Nicolas Dupont-Aignan,2,0.86,-0.86
Marine Le Pen,34,2.91,-2.91
Éric Zemmour,3,1.05,-1.05
