candidat,intentions,erreur_sup,erreur_inf
Nathalie Arthaud,1.0,0.6,-0.6
Jean-Luc Mélenchon,13.5,2.05,-2.05
Fabien Roussel,4.0,1.18,-1.18
Marine Tondelier,4.0,1.18,-1.18
François Hollande,7.0,1.53,-1.53
Gabriel Attal,9.5,1.76,-1.76
Édouard Philippe,14.5,2.11,-2.11
Bruno Retailleau,8.5,1.67,-1.67
Nicolas Dupont-Aignan,1.5,0.73,-0.73
Marine Le Pen,32.0,2.8,-2.8
Éric Zemmour,4.5,1.25,-1.25
