candidat,intentions,erreur_sup,erreur_inf
Nathalie Arthaud,1,,
Jean-Luc Mélenchon,14,,
François Hollande,13,,
Gabriel Attal,16,,
Bruno Retailleau,13,,
Sarah Knafo,5,,
Jordan Bardella,38,,
