candidat,intentions,erreur_sup,erreur_inf
Nathalie Arthaud,1.5,0.25,-0.25
Jean-Luc Mélenchon,13.0,0.69,-0.69
Raphaël Glucksmann,15.0,0.73,-0.73
Édouard Philippe,22.0,0.85,-0.85
Bruno Retailleau,9.0,0.59,-0.59
Nicolas Dupont-Aignan,2.5,0.32,-0.32
Jordan Bardella,33.0,0.96,-0.96
Éric Zemmour,4.0,0.4,-0.4
