candidat,intentions,erreur_sup,erreur_inf
Nathalie Arthaud,0.5,0.44,-0.44
Jean-Luc Mélenchon,15,2.21,-2.21
Fabien Roussel,2.5,0.97,-0.97
Marine Tondelier,4,1.22,-1.22
Raphaël Glucksmann,14,2.15,-2.15
Gabriel Attal,14,2.15,-2.15
Bruno Retailleau,9.5,1.82,-1.82
Nicolas Dupont-Aignan,2.5,0.97,-0.97
Marine Le Pen,35,2.96,-2.96
Éric Zemmour,3,1.06,-1.06
