candidat,intentions,erreur_sup,erreur_inf
Nathalie Arthaud,1.0,0.6,-0.6
Jean-Luc Mélenchon,13.5,2.06,-2.06
Fabien Roussel,4.0,1.18,-1.18
Marine Tondelier,4.0,1.18,-1.18
François Hollande,7.0,1.54,-1.54
Gabriel Attal,9.5,1.77,-1.77
Édouard Philippe,13.5,2.06,-2.06
Bruno Retailleau,8.0,1.63,-1.63
Nicolas Dupont-Aignan,1.5,0.73,-0.73
Jordan Bardella,34.0,2.85,-2.85
Éric Zemmour,4.0,1.18,-1.18
