candidat,intentions,erreur_sup,erreur_inf
Nathalie Arthaud,1,0.47,-0.47
Jean-Luc Mélenchon,15,1.68,-1.68
Fabien Roussel,4,0.92,-0.92
Marine Tondelier,3,0.8,-0.8
Raphaël Glucksmann,11,1.47,-1.47
Gabriel Attal,14,1.63,-1.63
Bruno Retailleau,10,1.41,-1.41
Nicolas Dupont-Aignan,2,0.66,-0.66
Jordan Bardella,34,2.22,-2.22
Éric Zemmour,6,1.11,-1.11
