candidat,intentions,erreur_sup,erreur_inf
Nathalie Arthaud,1,,
Jean-Luc Mélenchon,17,,
Fabien Roussel,4,,
Marine Tondelier,3,,
Ségolène Royal,3,,
Karim Bouamrane,1,,
Gabriel Attal,8,,
Édouard Philippe,16,,
Bruno Retailleau,7,,
David Lisnard,2,,
Nicolas Dupont-Aignan,3,,
Éric Zemmour,2,,
Marine Le Pen,33,,
